,Clean_Text
1063,Again quarrel come difficult relationship lifepartner threw books shelf sure disturbed neighbours happened late night
1064,lonely neurotic shy girl lives nearby expressed wish meet me avoided (turned invitation) crisis partner going uses empathy
1065,Begining weekend girlfriend : cozyness beer wine
1066,fear future : work making ends meet health Coping
1067,friend ridiculed me telling accomplish anything felt interfered life
1068,felt sad leave girlfriend constant problems failed attempts reconciliation sadness caused irreversibility decision
1069,man spat wall house
1070,express bus sat seat meant senior citizens invalids
1071,succeed finding job finished nonacademic degree
1072,overwhelming anxiety enquiry understood exist task life is
1073,railway station waiting train night noticed drunk young man appraching purposeful mannner
1074,discussion mother realized moment doubt justification making decisions concerning life
1075,think probably genuine contact parents
1076,reading Olli Jalonens new book distant cold selfish relationships people (in book) feel disgusted
1077,approached person opposite sex rejected
1078,noticed little sister sulking meet misunderstanding
1079,day got know shared dwelling boyfriend parents place getting little crowded growing bother wanting room himself felt doubt joy sadness feeling joy strongest
1080,grandfather lungcancer nursed home felt fear choked mucus secretions
1081,outrageous conduct relative close me(blaming lying)
1082,finish life 8 yearold dog
1083,drunk person
1084,argument grew ordinary conversation person close me good time together
1085,trying little brother ditch fell head started crying scared caused permanent injury
1086,dancingtavern atmosphere waiting end world Suddenly people began dancing wildly inspired band unbelievable experience : wonderful Finns flare forget think \what thinking me\ delightful dance ones heart content
1087,travelling home boat friends lovely holiday trip night sea dark wind blowing feared death boat felt sure it feared left alone
1088,home filling tax report time help me liked quickly meet friend returned hospital got angry brother father refused calculator asked nicely leave wait help tax report done
1089,tried talk parents phone wanted home weekend knew able bear it tried reduce gulf conflict talking order unite worlds Result : hysterical mess blinding blaming
1090,mother called read enveloppe letter addressed me denied read intentionally said \the words popped enveloppe sun shining it\ Hah Hah
1091,feared describe sexual life older strange woman
1092,moved away home
1093,inflammation ear child got cured doctor said ear completely right
1094,husband suddenly fell ill seriously medical examinations know follow
1095,housing council asked city cut 40 linden trees inhabitants lower floors view sea
1096,child unexpectedly started acting restless disturbing way school addition performance school weakened
1097,trip abroad ladylike member group turned alcoholic spoilt days holidays behaviour paranoia
1098,failed exam thought certainly pass
1099,guilty gossiping blaming others superiors workplace formal reprimand
1100,student (at music) performed played remarkably well
1101,climbing stairs skijumping hill
1102,boyfriend came home late night told before
1103,breaking long lasting relationship
1104,watching movie called \Deer hunter\ TV showed prisoners treated
1105,noticed person found attractive seen picking nose
1106,think stict narrow minded students
1107,girlfriend unfriendly terms (my fault) cried joy evening
1108,cycling country came large herd cows
1109,heard stepmother treated mother wrong manner
1110,friend pass high school graduation examinations
1111,heard advances acquaintance friends approve them
1112,sexual intercourse friend thought told friend his
1113,promised male friend visit him not
1114,lectures sensed unexpressed understanding boy know exchange glances  think likes me like too fallen love 
1115,night walk home past forest Once somebody got stabbed forest imagine attacking hurry up
1116,tram ticket seller commanding taking role leader trying emphasize nonexistent authority undue strictness goodhumoured drunk find ticket once
1117,relationship trust broke up sad realized easy forget regarded great significant
1118,nightmare dreaming bloodsuckers tried shake body everywhere glued suck lot them panic
1119,told evil lies close friend mine evil order sound jolly charm person wanted impress sold friend despicable
1120,met ex boyfriend chance separated months ago new boyfriend ex boyfriend looked depressed know blamed
1121,Traveling female railway carriage middle night Italy
1122,male Honduran acquaintance despised opinions
1123,dog died
1124,walking street good friend mine met acquaintance hers friend started showing telling false stories praising herself
1125,dishonest boyfriend concerning important relationship
1126,parking fine
1127,finished masters thesis felt great joy relief haunted thesis studies
1128,preparing masters thesis scared accomplish subject difficult
1129,Summer workplace person kept interfering tasks making unfounded remarks felt hatred stopped realized longed attention
1130,time felt sad disappointed hoped final exams compared earlier exams questions think unjust
1131,May detested fiances friends piled party spoilt completely
1132,sad party felt ashamed friends invited suffer We organizers party drive intruders away
1133,summer job responsible making orders ordered seasonal merchandise left thrown away Autumn felt partly responsible large order
1134,met good friend long time
1135,camping friend spent night forest fall sleep clearly hear noises outside (steps ) approaching tent
1136,quarelled parents
1137,away close friend away Finland year exchange student
1138,saw spider
1139,playing urinated grandmas floor lavatory cousin told grandma came
1140,travelling bus invalid ticket got caught
1141,discussion colleague mine realized conception man work similar mine
1142,drunk life partner tried hit me felt scared fled bathroom
1143,\higher status\ colleague despised attitude organization work
1144,meet love waited month illness
1145,again life partner came home drunk midnight
1146,love rented room hotel evening stayed hours leaving hotel felt ashamed
1147,moved town study got postcard good friend (from home town)
1148,boyfriend hinted phone wanting \be free\ point blank silence followed
1149,returned taxes expected
1150,boyfriend separated
1151,morning cat landlady vomited floor near staircase bathroom
1152,boyfriends mother met earlier unexpected visit lying lazily bed reading newspaper boyfriend studying
1153,cat landlady escaped window left open
1154,got letter best friend heard long time (a good letter)
1155,knocked door home (though door bell) looked peep hole covered called sister help hundreds kilometres away
1156,parents pressure buy clothes liked so
1157,grandfather died saw grandmother crying aunts shoulder (I seen grandmother cry before)
1158,school detested spinach gruel lumps flour it
1159,told acquaintances regretted later
1160,got letter home
1161,cycling country dog started running me growling barking trying bite foot
1162,Disagreements mother moved KankaanpSS promised help broke promise hindrance
1163,away home study knew coming home long time
1164,noticed spiders running floor different directions
1165,realized wrong person close me preset ideas prejudices
1166,reproached friend lowspirited disappointed
1167,found place looking long time
1168,angry boyfriend promised come spent evening pals
1169,breaking relationship decided relationship carry on surprise me anyhow known happen sooner later
1170,disgust feel certain person
1171,event felt acted unfairly
1172,job got disproportionately angry child reaction been
1173,went entrance examination results university rejoyced success
1174,borrowed car supposed long journey hours later tyres burst middle town know do
1175,utterance intended joke taken offence opinion stupid got angry
1176,best friend relatively severe illness sad suffering
1177,man tried sexual intercourse me communicated unwillingness Later on felt disgust person partly submitted
1178,told friend calculated salary cheating little friend remarked it understood wrong so felt ashamed
1179,going steady boy sexual intercourse one felt guilty afterwards
1180,good report card (a scholarship) primary school
1181,walking home friend night quiet street started rustling bush : exhibitionist
1182,got angry friend caught reading notebook (almanach)
1183,grandmother died cancer
1184,lift drunken fat untidy man tried advances me
1185,sheer pleasure it quarelled boyfriend trying especially kind me
1186,acquaintance certain person
1187,abroad driving car dark winding road
1188,sister took things asked permission first
1189,grandfather died
1190,working got treated way felt democratic
1191,working domestic helper day cleaned remark it
1192,decided away parents home mother told torn her
1193,went job interview met person nice attitude glad
1194,episode fright happened came study stand unknown fellow students talk myself hands shook flushed tonguetied
1195,felt guilty spent night boyfriends place particularly harsh spiteful left home reason feared possible discussion subject wanted leave defiantly
1196,restaurant boyfriend saw best female friend seeing weeks rejoyced hugged long talk
1197,evening going meet friend mine cross meadow dark road bushes road weather damp bit foggy heard steps kept speeding steps time
1198,brother told person (whom know) insulted him fond brother angry hurt protectiveness aroused got angry
1199,guineapig ill couple days evening came home enquired doing mothers expression told died knees refused support began weep convulsively
1200,happened boys fighting fell hurt head spank head boy ground
1201,away night told parents it morning came home mother looked tired said awake night angry disappointed
1202,written to called grandmother lonely long time mother asked behalf so grandmother delighted told waiting news us
1203,sick husband bought piece cake
1204,saw man heartattack treated it feared father there
1205,saw big man hit one anything
1206,sister left home Sweden Christmas Holidays
1207,watched series called \Dynasty\ TV detested it
1208,feel guilty working studies progressing
1209,redcheeked content child runs meet yard kindergarten gives moist kiss cheek
1210,neighbours girl disappeared people looking her gone notify police certainly happened her
1211,permission son popcorn coming school consequences spoilt kettle chaos kitchen happened hot grease 
1212,death close relative
1213,fellow students questionable unfair means advance studies faster others detested her
1214,friend told fairly loud voice blunders committed night
1215,stopped car pedestrian crossing child crossing street car driving lane stop child got hurt stopped 
1216,vacations day lecture occured buy rose mother went pub mother told getting married Spring known glad
1217,work day care centre day children outdoors fouryear old boy disappeared yard looking then manager responsible
1218,vacation attend meeting day care centre Nevertheless day came called early morining ask \what going matter \ (which discussed meeting) got angry
1219,fact mother getting married (my mother father divorced 15 years ago) means probably Turku home family house sold (I living home past years)
1220,travelling bus people sitting (two men woman) drunk conversation unbelievable (about fucking fellatio etc) tried conversation loathed felt like crying
1221,seven years old stole chewinggum big glass bowl counter nearby shop got caught
1222,secretary association meeting forgot minutes
1223,away home long time came home delighted wonderful familiar dear people rejoycing advance feeling lonely
1224,awoke night remember dreaming antthing particular felt oppressing fear dark sleeping
1225,winter day I unwillingly outdoors younger brother (10 years younger me) lost temper wanted throw brother snow bank on pushed hard wanted to us
1226,class excursion boat Stockholm night class mates prepared clebrate motive life \life merriment\ felt depressed way sought happiness
1227,way home bus man drunk fair alcohol started talking trying hug pat woman sitting him Fortunately me
1228,gave wrong answer school
1229,little brother asked play him told time play day However day said thing
1230,When long time saw girl love
1231,walking fairly outoftheway street
1232,friend promised arrange tickets concert considered important way thought would gave thing
1233,sad saw beautiful girl attainable
1234,heard somebody talk studies highly enthusiastic \studentlike\ way
1235,attending affairs taking time bank officer felt clothes appearance place raggy
1236,evening went friends mine supposed stay home little sister 11
1237,watching entertainment program clever amusing sketch
1238,army room mate came furlough threatened fellow knife
1239,day school traditionally celebrated singing song students leaving song me things irritated lot
1240,worked seven months factory friends fellow worker Later visited fellow workers told that army friend shot himself
1241,behaviour fellow army mean detested this
1242,tried date girl refused
1243,calculation exercises neglected it marked done chance asked demonstrate blackboard
1244,army result shooting exercises got day furlough
1245,8 years old usually come home school mother car time school bus mistook bus stop found kilometres away lived scared wondering home
1246,read newspaper Student Lodging Fund going build new appartments refugees (in opinion states affair) fractoin students find appartment
1247,lead secure life thing remember song nineteenth century alcohol melody word (although naive) effected emotions
1248,Yesterday elevator man started smoking tolerate
1249,primary school faltered answering question started laughing
1250,favourite football team goal win Cup England
1251,10 years old neighbours dog chased roof small shed hope getting away there
1252,playing ball game goal thrown feet failed score goal
1253,heard death Frantois Truffaut French motion picture director radio planned film
1254,saw movie called \The Thing\ film directed John Carpenter monster film feel disgusted
1255,misbehaved party wish meet person question later
1256,playing ball game mistake lost game
1257,sauna bath
1258,dream African elephant
1259,came lesson cancelled fill questionnaire instead
1260,car froze start it
1261,saw computer teacher
1262,going downhill skis fell twice time
1263,involved car crash
1264,passed exam thought failed
1265,mother come home midnight forgotten tell it young home
1266,girlfriend started singing (she sing) stop despite asking so
1267,grandmother died cancer
1268,child saw horror film TV rotten human skull
1269,small boy took coin taxi cab mother saw told driver it knew driver
1270,betrayed girlfriend
1271,New Years Eve party country hardly knew person partner spent time bar little opportunity know people table separated boyfriends parents present
1272,Christmas Eve: tension parents try restore harmonic atmosphere Mother stayed room day felt sad
1273,Father said: pregnant procure abortion filled disgust father
1274,intimate relation boyfriend unfortunately sexual problems deceived him ashamed told friend it
1275,work commercial house 7 10 am cold day winter late  let fellow worker stand cold half hour
1276,year searching friend found flat able pay for
1277,Car accident middle night
1278,weekend wanted absent school sports event teacher refused day like me
1279,years old favourite cat died
1280,gigantic spider climbed face  flat
1281,fat felt absolutely unwell afraid leaving house getting know new people
1282,said responsible mother getting ill growing thin realize fault weeks later
1283,car prizecompetition moment informed it felt joy
1284,sister undergo complicated operation eyesight stake
1285,quarrel parents convinced right
1286,heard friend died accident group situation: suddenly friend came said \Have heard that\ terrible consternation silence everybody shouted excitedly \How happen\
1287,Scuffle carriage underground Vienna drunk men thrashed man wheel chair  watched scene carriage
1288,end friendship girl  pretended love affection able sleep her
1289,young girl tried end life lovers grief hospital heard reason action
1290,order admitted final examination pass examinations studied much resigned left behind succeeded examinations
1291,told parents bad marks school day father wanted speak teachers Fortunately influence parents easy
1292,wanted friend party moment wanted leave father said needed work afternoon
1293,friend mine repeated year school before pass final examination half year later
1294,Ecoactivists demonstrated project build power station Danube middle lowland forest (Hainburg) government decided delay year father heard it said needed Hitler
1295,time room looked terribly untidy time aunt came me fortunately prevent entering room
1296,supposed fetch friends bus stop father bad mood afraid grumble
1297,boyfriend returned long absence
1298,car skidded wet street
1299,wanted friend looking forward certain expectations pay attention me played cards people
1300,good friend quitted behaved strange manner
1301,broad daylight saw untidy old man pissing playing penis middle town
1302,Somebody knows discovered told lie
1303,boyfriend away flirted best friend felt guilty day
1304,Recently good friend called needed something said \please\ \thank you\ kind word
1305,favourite horse died tried best save him hopeless shot
1306,read book sexual phantasies women read woman sexual intercourse dog
1307,flat bathtub kitchen beginning intensive feelings shame bath people kitchen
1308,care plants friend weeks watered them let stand cold room perished
1309,met good friend long time quarrel weeks glad again
1310,stayed Vienna class friend behaved incorrectly teacher threatened exclusion school
1311,lost driving license driving influence alcool
1312,mothers death
1313,entered dissecting room time think felt disgusted mainly bad smell formaline
1314,think felt ashamed time entered night club
1315,ski tour friend drunk much went slope ski lost friend lost way thought happened (he finally arrived long time)
1316,father stayed abroad year like write letters makes ortographic mistakes good relation him wrote letter said loved me
1317,child afraid father looked me felt frightened
1318,colleague asked study her explain things perfectly expected reacted aggressive manner
1319,Christmas holidays went parents stayed weeks days conflicts years lived them glad left
1320,Old man hospital hollowcheeked half nose glasseye rattling breath
1321,father came bathroom saw standing naked
1322,live boyfriend close relationship fell love man
1323,met girlfriend  counted that
1324,night feeling somebody stealing car frightened see
1325,rearranged furniture flat got stuck chair
1326,person died (not friend)
1327,weeks ago problems friends felt disgusted friend
1328,child thought ashamed asking certain forbidden things
1329,quarreling friends
1330,Southern Tyrol gathering apples fine day thinking anything felt overwhelming joy
1331,girlfriend slept lonely hut (we drunk alcool) Suddenly soil fell us water tried hard find cause
1332,helped little sister (13 years) learning mathematics Obviously want understand explained started cry grew angry
1333,girlfriend told wanted leave me
1334,trip passed cellulose factory fine day beautiful landscape observed factory disgust
1335,went sauna father time (I 16) entered sauna naked felt ashamed short time
1336,came home discotheque half past morning promised parents come home midnight 3 am felt guilty parents
1337,friend missed came unexpectedly
1338,way lonely streets met huge stray dog stopped distance looked me tried ignore frightened
1339,friend tried persuade place act model felt tired quarter hour appointed time lied want late anyway said talking looking work possible accept it angry unjust judgment
1340,lived boyfriend foreign country half year saw impossible stay (for economic reasons) separated loved him
1341,certain book read cruelties violence prison souteneur circles felt especially disgusted read detailed descriptions physical mental torture powerful people
1342,talked psychotherapist time started cry talked crying
1343,went shopping mother sister (17 years old) Mother told sister buy Instead assisting sister defending mothers interference behaved aggressively sister
1344,worked \aupairgirl\ London received good friend told London wanted me glad  especially saw her
1345,St Claus Day years old St Claus Devil Servant came me St Claus Devil Servant rattled chain bowled terribly frightened parents ask leave
1346,friend called told wanted come me lived village 50 km distance fom home town morning expected arrive got impatient called parents told gone skiing angry cancelled appointment able her
1347,years old father run car saw body sad words
1348,friend prepared soup chicken heads invited eat it saw eyes staring tongues hanging bills disgusted felt nausea leave room
1349,gynecologist sit special chair felt ashamed
1350,terrible quarrel family withdrew room felt guilty caused scene aggressive behavior
1351,unexpected possibility friend like much
1352,afraid certain examination relatively prepared
1353,hairdressers got stains dyestuff new trousers stains removable trousers again
1354,1977 grandfather close relationship died
1355,drunken man forced kiss him
1356,friend started insult person reason felt ashamed behavior
1357,somebody 12 12:30 possibility time 3 pm
1358,years stay abroad returned home glad family pleased me
1359,went home restaurant dark went fast me drunk men shouted me chance met friends accompanied me
1360,friend shares room me opened window morning left room day came home evening room cold stay there
1361,aunt loved much died heard death touched funeral conscious death moment
1362,friend told managed win sympathy people possible said listened said tried things like hear express opinion felt disgusted told that
1363,restaurant acquaintance boy told things loud voice laughed said repeated things time later heard undergone complicated brain operation
1364,closing door realized left key inside house felt guilty house house people hardly knew
1365,way France girlfriend went Verona chance met Italian couple  gave tickets dressrehearsal \Aida\ different world fascination representation ate phantastic pizza restaurant near \Arena\
1366,mountain tour girlfriend passed inn Near house big dog began follow us girlfriend afraid dogs draw attention me jumped shoulders wanted play like that
1367,arrived Vienna middle night asked silly information  realized  inquiry clerk reacted arrogant manner
1368,leave girlfriend 4 weeks studies happens frequently 24 hours departure depressing
1369,stayed house friends washed face wanted dry towel towel long time already smelled indefinably awful
1370,friend money Therefore stayed girlfriend bought meat wanted prepare dinner friend said \I thought wanted invite dinner\ \Of course\ said thought bought it
1371,happened went school: got closer girl considered \affair\ later realized painful girl
1372,informed short story written accepted publication
1373,friends crossing street friends seized car thrown aside seen car coming direction time react prevent accident
1374,wanted clear misunderstanding friend caused person meddled conversation turned efforts ridicule succeed intended
1375,Death grandmother
1376,school difficulties mith mathematics work examination felt disgusted
1377,played stage play Suddenly 200 people remember words say
1378,night come home telling parents want speak afterwards mother cried bad conscience felt guilty
1379,3 weeks saw girlfriend again
1380,evening tramway afraid drunk men molesting girlfriend me
1381,went singing group young people January 6th (The Magi) local custom called \star singing\ girls girlfriend broke star accompanying person felt angry thinking consequences
1382,grandmother friend died hospital friend crying sad too
1383,saw physically handicapped young man spittle ran mouth speaking
1384,group situation: suddenly turn something felt able express  felt ashamed blushed
1385,girlfriends results school worse prevented learning (we went etc)
1386,went shopping parents  father payed me glad
1387,child heard floor cracking thought burglar house hid blanket trembled
1388,lecture colleague know subject got nerves asking silly questions
1389,grandfathers died realized miss them
1390,football game player perspiring strongly ran me
1391,tried pass examination particularly well worse ever felt ashamed
1392,military service lost equipment accused person rebuked punished
1393,choral concert appeared solist concert5 good forgot hard work before remained undescribable joy feeling warmth security etc
1394,\cantor\  sing psalms church weeks ago sing too organist tell time know psalm afraid said sing
1395,Christmas holdidays wanted invite brother girlfriend child dinner said brothers girlfriend like come place dinner refused mentioned asked her
1396,years ago brother died accident heard it sad took years resigned it
1397,read book situation SouthAfrica terrible violations human rights disgusted white population
1398,PT instructor works masseur wanted massage me undress times easy me got gradually it
1399,time ago took driving test answer theoretical questions well failed practical driving test fault practice
1400,brother came home staying hospital undergone operation matter life death came home smile time weeks
1401,short stay Marocco missed ferryboat Spain look accomodation chance met man offered camping site sitting car terribly afraid heard people robbed Marocco
1402,exhausting day came home wanted bath relax father wanted bath finished hour hot water left me
1403,met nice people holdidays left knew again
1404,drunk man attacked wife wanted humiliate insulting her turned violent started beat child left happen saying word order things worse watched scene tried calm man success stronger comply day detested him
1405,medical checkup  boys girls  clothes exception underwear classroom older pupils sitting staring us
1406,allowed little brother clean bathroom way mother came saw floor overflowed water slapped brother face told bed immediately
1407,day feel wanted talk somebody friend invited dinner glad
1408,driving car misty night car felt totally insecure nervous overstrained
1409,mother treated unjustly little child said mean things unable defend adequately
1410,uncle died loved much sad felt totally helpless
1411,watched news TV commentary \Hainburg\ felt disgusted heard members union speak situation
1412,took tram paying people caught controller felt ashamed angry
1413,behaved nasty manner friend said things said friendly way felt guilty
1414,friend difficulties parents child better relationship them
1415,school class went skiing steep slope boy standing lost balance fell drew him slided slope 1 distance tree stop
1416,happened tram: older people started grumble young people immediately left seat them
1417,younger good apparatus gymnastics competitions fourth place
1418,friend assaulted young man way home
1419,men talking sister
1420,holidays boyfriend turned away outwardly danced man raised certain hopes him explain circumstances
1421,received letter Christmas present person seen years
1422,home mother asked heat house fuel stove began glow noise house going explode
1423,end holiday job got money mentioned that
1424,little cat raised myself hanged playing garden
1425,school classmate good pupil help boy performed well told purpose wrong things repeat year
1426,child played mother nasty trick feel hurt
1427,promised friend important appontment late missed opportunity wellpayed holiday job
1428,boyfriend fond him \11months jubilee\ forgotten it gave red rose
1429,child afraid big dogs day came home big dog laying door frightened dare enter door waited somebody passed by
1430,share small flat friend birthday evening stay University day evening left lecture finished able buy flowers her home called tell stay night boyfriend
1431,child grassparakeet liked much legs crippled fast came room notice stepped him days later died
1432,younger saw father come home drunk (he big problems time) woke middle night shouted me
1433,school bad mathematics teacher admonished homework day forgotten it teacher noticed it blushed ashamed rebuked pupilsá
1434,child quarrelled younger sister angry slapped face cried shouted mother came scolded me
1435,weekend seminar saw husband again hurried home hoping there embraced  enjoyed feeling body
1436,evening stayed home alone lived ground floor afraid burglers
1437,day riding bicycle path car coming opposite direction forced bike priority
1438,father died unexpectedly age 53 years certainly liked live longer said confronted fact die day too
1439,day years old brother took slimy substance swimming surface pot vinegar cider threatened throw me
1440,years old classmate laughed told father retired
1441,felt guilty accomplished thing wanted to
1442,party friends New Years Eve
1443,hitchhiking went man drived like madman
1444,\Hainburg\ December angry politicians police
1445,met good friend year realized grown certain distance us
1446,listened conversation friends talking power money
1447,grandmother died  funeral
1448,read monk murdered barrel filled blood pigs
1449,went walk close friend talking problems told lies
1450,tell collegue time appointment collegue told wrong time  obviously fault
1451,went buy bicycle father wanted pay father took purse payed
1452,mother fallen ladder gathering cherries hurt arrived saw people lifesaving service giving medical care
1453,waiting car going leave parking place wanted park car there uncoming traffic wait short time  driver placed car place
1454,partner left long time
1455,discussion friend took \faschistic view\ expected
1456,weekends seminar trousers suddenly burst prevented participating activities
1457,driving motorbike went bend incautiously fell down slightly hurt motorbike slightly damaged
1458,Christmas got know girl relationshop consolidate holiday big surprise carefully handmade present her  relationship grew closer
1459,child fell cellar (when playing) freed big difficulties
1460,angry drivers showed aggressive dangerous driving habit
1461,grandmother died deep relation (I lived years)
1462,time ago girl tried action part possible means behaved refusingly longer time
1463,went sauna time men women
1464,parking car cautious bumped car caused considerable damage driver car angry let insult felt guilty
1465,person seen long time called invited party
1466,walking street group drunk bawling young people approached
1467,househunting: person got flat liked too heaped floot words letter
1468,grandmother died
1469,shoplifted pair earrings Coles Mum caught bag
1470,mother tremendous phone talked hours good mood
1471,saw good male friend unexpectedly year Ive returned overseas feeling tired looking mess nervous
1472,wanted talk liked told likes (by brother himself) avoids confrontation vague
1473,left company gave lot support laugh found days end
1474,boy continued use foul language swearing group friends
1475,seven caught stolen dolls dress nextdoor neighbour
1476,Feeling guilt greed buying chocolate pigging point feeling sick especially fat
1477,planning marry
1478,strong emotion falling sleep caught sight 5 cm diameter spider crawling pillow me
1479,feelings wouldbe inlaws participation recent broken relationship
1480,Recent breakup seriors longterm relationship helped wouldbe inlaws
1481,strong emotion Treatment sister dancing instructor  \user\ ie takes advantage good nature
1482,failing second attempt Med 4 following number difficult personal circumstances
1483,Failure complete medical course result failing fourth year twice
1484,Wayne Sue (close friends) announced guardians ther wedding
1485,Car accident nearly occurred drunk driver coming opposite direction missed approx 1 collided (after rolling twice midair) nearby scrub
1486,boyfriend lied me
1487,boyfriend took fathers grave
1488,boat trip  saw mother giving young child (aprox 67 years) cigarettes
1489,harassed boy  sexual (refer GUILT)
1490,grade 3 late home school day weeks harassment grade 7 boy lied mother home late
1491,Getting parttime job
1492,Small car accident Black ice road  cars started zigzagging we Car 180¦ turn followed ended gully
1493,People hunting animals
1494,grandfather sick died felt sad though sick
1495,People spitting railway stations
1496,Falling over
1497,Eating felt guilty knew overeaten Im putting weight
1498,years second semester results came  ecstatic
1499,sleeping room woke middle night think hear noises shadows moving felt house
1500,school couple years ago socalled acquaintance told lies teacher told friends overheard conversation
1501,grandfather died lived recluse caring  Dad helped could save himself unexpected death second de facto wife lucky jailed
1502,penultimate job responsible sections employers years dedication dismissed new chef saying incompetent
1503,assisted scene police attacked person documents savagery much attacked person bleeded much
1504,party friends got completely drunk
1505,homes yard plaing football cousin certain quick ball went uncontrolled putting birdcage killing it
1506,hard like getting job boyfriend etc specific sutuations started date boy liked long time
1507,assume position expect
1508,dismissed unjustly firm worked persons problems miss jobs occupied dismissed
1509,felt sad right it kind suvenir people right have
1510,acts brutal violence generally disgusts me Fights phisical aggrssion etc
1511,felt ashamed certain occasion read text stop stuttering
1512,reproved eighth grade high school
1513,talked teacher yesterday who least rude unwise irrelevant opinions friend
1514,loss woman loved till today
1515,sexual experience unknown woman sexual act away looking backwards
1516,wanted kiss friend succeed felt shame
1517,telephone talk agressive stupid least reason better motive
1518,succeed writing felt felt happy able express suffocating me
1519,crashed car
1520,difficult moment express correctly thought came distortions bringing highly negative distorted results
1521,heard death somebody liked present person try share emotions friends
1522,saw woman subjugated money able hide hated power situation convenient according told me
1523,somebody suddenly said (about me) wrong moment agree (at exact moment needing extremely positive word)
1524,mother surprised masturbating
1525,forgot water flowers flat rebuked friends share flat me
1526,final examination school glad examination passed it
1527,child nightmare time able tell anybody it frightened explain deal myself
1528,angry person behaved terribly ball offending relatives
1529,grandfather died heard death bad feeling stomach felt lost precious
1530,brother caught spider let frog eat it
1531,spoke thinking  nonsense
1532,sure help old woman going flight stairs watched saw difficult it
1533,year bad relation father Christmas Eve invited stay withhim glad it fine evening
1534,live outside Graz  bus day went home bus stop alone dark forest dark figure me frightened
1535,sister promised help translation English German day needed told busy  angry
1536,years ago mother died ill long time death came unexpectedly want believe true
1537,horror spiders snakes walk wood saw body slowworm (without head)
1538,came home party drunk said things said normally morning terribly ashamed said
1539,accident happened little cousin taken care her fell floor hands hurt
1540,little cat sick liked went veterinary it told tend recovered health Everybody said saved life
1541,child terrible nightmare St Nicholas Devil Servant asked mother existed said yes following nights sleep light left turned on
1542,usually start learning short time examination mind try work longer time  got bad mark
1543,friend told cousin girlfriend said treated mean nasty way surprised people treated friendly way sad it
1544,went sister boyfriend friend like young man suddenly overcame kissed me strong defend myself
1545,oral final examination mistake speaking teachers laughed me
1546,time sister grumbled said bad things mother mother scolded her
1547,passed final examination school
1548,cave excursion friends suddenly lost afraid losing way cave
1549,felt treated unjustly teacher
1550,grandmother died stronger relation mother
1551,molested old drunk man
1552,Latin examination school
1553,drunk nearly got alcohol poisoning
1554,met girlfriend town long separation
1555,went home early morning wood
1556,friend unpunctual wanted prepare examination
1557,grandparents moved town
1558,butchers saw animal slaughtered blood dripping floor
1559,school bad running long distances classmates laughed reason
1560,care little brother met friend pay attention certain time hurt playing
1561,birthday old friend sent card met year glad thought me
1562,spent night friend secondary school told horror stories suddenly heard uncanny noises terribly frightened
1563,attended school brother usually went aunt terms report rewarded money reports good brothers got money
1564,friend pregnant lost child second month went hospital  crying felt sorry her
1565,attended school class visited institution mentally physically handicapped persons tried control feelings disgusted
1566,party spent night friend drunk morning disillusioning friend leaving room felt shabby immoral
1567,care neighbours child look time child fell hurt felt guilty
1568,good friend away months met again ran embraced
1569,evening father told cellar beer terribly frightened idea man sitting cellar assaulting me defence took bottle me
1570,stolen bottle rum person knows well threatened police pay 500 Shillings
1571,uncle died saw funeral time people stood open grave cried
1572,party met girl drew her told nonsense wanted kiss me
1573,head pullover girl breasts girl looked felt ashamed
1574,uncle promised buy bicycle time went received yet asked father buy me Later heard uncle wanted offer bicycle birthday weeks later
1575,days final examination school sitting airplane way Greece enjoyed moment much
1576,night lying bed awake eyes closed saw figures terrible faces black frocks bending touching me opened eyes them feeling somebody room terrible turned light able sleep
1577,arranged friend Carinthia car arranged place meet bit late friend left already money train nearly started cry angry  important Carinthia
1578,dog shot killed roe liked resign that hated hunter shot him
1579,sitting stationhall watching lavatory attendant dirty started eat dirty cup  like lard took breadcrumbs pockets apron ate them leave  felt like vomitting
1580,doctors veneral disease told doctor infected boyfriend true ashamed tell truth
1581,playing hurt little sister mother admit fault
1582,neighbour able set car motion snowed heavily helped  thankful invited me
1583,skiing friends wanted skijump want left behind braced followed them
1584,examination got bad mark small mistake went lector wanted talk that listen sent away
1585,cut run car searching long time found lying kerb shocked angry driver
1586,watched report El Salvador TV saw people murdered terrible methods
1587,crosscountry race wanted shortcut (which allowed) caught disqualified friends observed that
1588,discussion reacted aggressively impossible continue discussing
1589,birthday got present desired long time
1590,discussing person realize person thinking argumentations instead listening angry
1591,holidays girlfriend leave 4 weeks stay Turkey weeks job there
1592,studied medicine semesters disgusted dissectingcourse understand persons like course
1593,time ago tournament tennisclub tactical reasons chosen play weaker player am simply win game defeated extremely necessary
1594,discussion girlfriend time started quarrel  upper hand  said important believe time later apologized that
1595,New Years Eve went disco friends amused got know people
1596,dentists touched tooth drill terribly aftaid pain feel moment
1597,hungry wanted start eating friend called usually talks long time angry prevented eating
1598,sister like much asked favour refused flimsy reason time later felt sorry like sadness
1599,way concert went man tried molest me moment care impression fills disgust
1600,asked friend come disco wanted person know well amused let friend sit alone asked come
1601,called little sister pick toy floor refused asked fourth time began quarrel family involved quarrel trouble brewing
1602,singinglesson good exercise singing scales teacher satisfied
1603,teacher wanted instill certain opinion certain behaviour myself refused afraid saw him
